 4856 , 18 , 0 , 0 
 143 ,Mirphak,1.79 155.27,3.405 49.861
 317 ,Alcyone,2.85 123.6,3.791 24.105
 702 ,Aldebaran,.87 20.43,4.598 16.509
 968 ,Rigel,.18 264.55,5.242 -8.202
 985 ,Capella,.08 13.12,5.278 45.997
 1079 ,Alnath,1.65 41.05,5.438 28.607
 1390 ,Betelgeuse,.45 152.67,5.919 7.407
 1916 ,Sirius,1.44 2.63,6.752 -16.717
 2148 ,Wezen,1.83 492.61,7.139 -26.394
 2406 ,Castor,1.58 15.59,7.576 31.888
 2454 ,Procyon,.4 3.51,7.655 5.224
 2506 ,Pollux,1.16 10.35,7.755 28.026
 3188 ,Alphard,1.99 55.27,9.459 -8.659
 3411 ,Regulus,1.36 24.31,10.139 11.967
 4201 ,Alioth,1.76 25.3,12.9 55.959
 4354 ,Spica,.98 76.56,13.419 -11.162
 4467 ,Alkaid,1.85 31.86,13.792 49.313
 4611 ,Arcturus,-.05 11.25,14.261 19.182
