 3682 , 15 , 0 , 0 
 129 ,Mirphak,1.79 155.27,3.405 49.861
 279 ,Alcyone,2.85 123.6,3.791 24.105
 609 ,Aldebaran,.87 20.43,4.598 16.509
 851 ,Capella,.08 13.12,5.278 45.997
 921 ,Alnath,1.65 41.05,5.438 28.607
 1151 ,Betelgeuse,.45 152.67,5.919 7.407
 1819 ,Castor,1.58 15.59,7.576 31.888
 1848 ,Procyon,.4 3.51,7.655 5.224
 1881 ,Pollux,1.16 10.35,7.755 28.026
 2553 ,Regulus,1.36 24.31,10.139 11.967
 2767 ,Dubhe,1.81 37.67,11.062 61.751
 3188 ,Alioth,1.76 25.3,12.9 55.959
 3400 ,Alkaid,1.85 31.86,13.792 49.313
 3508 ,Arcturus,-.05 11.25,14.261 19.182
 3637 ,Kochab,2.07 40.14,14.845 74.155
