 4030 , 15 , 0 , 0 
 233 ,Shedir,2.24 69.97,.675 56.537
 282 ,Van Maanen's Star,2.37 4.26,.819 5.388
 404 ,Mirach,2.07 60.53,1.162 35.62
 881 ,Polaris,1.97 132.62,2.529 89.264
 1177 ,Mirphak,1.79 155.27,3.405 49.861
 1327 ,Alcyone,2.85 123.6,3.791 24.105
 1657 ,Aldebaran,.87 20.43,4.598 16.509
 1899 ,Capella,.08 13.12,5.278 45.997
 1969 ,Alnath,1.65 41.05,5.438 28.607
 2199 ,Betelgeuse,.45 152.67,5.919 7.407
 2867 ,Castor,1.58 15.59,7.576 31.888
 2896 ,Procyon,.4 3.51,7.655 5.224
 2929 ,Pollux,1.16 10.35,7.755 28.026
 3601 ,Regulus,1.36 24.31,10.139 11.967
 3815 ,Dubhe,1.81 37.67,11.062 61.751
