 472 , 14 , 0 , 0 
 14 ,Shedir,2.24 69.97,.675 56.537
 23 ,Van Maanen's Star,2.37 4.26,.819 5.388
 36 ,Mirach,2.07 60.53,1.162 35.62
 89 ,Polaris,1.97 132.62,2.529 89.264
 128 ,Mirphak,1.79 155.27,3.405 49.861
 149 ,Alcyone,2.85 123.6,3.791 24.105
 194 ,Aldebaran,.87 20.43,4.598 16.509
 226 ,Capella,.08 13.12,5.278 45.997
 234 ,Alnath,1.65 41.05,5.438 28.607
 256 ,Betelgeuse,.45 152.67,5.919 7.407
 308 ,Castor,1.58 15.59,7.576 31.888
 311 ,Procyon,.4 3.51,7.655 5.224
 316 ,Pollux,1.16 10.35,7.755 28.026
 347 ,Deneb,1.25 432.9,20.69 45.28
