 428 , 14 , 0 , 0 
 5 ,Mirach,2.07 60.53,1.162 35.62
 58 ,Polaris,1.97 132.62,2.529 89.264
 97 ,Mirphak,1.79 155.27,3.405 49.861
 118 ,Alcyone,2.85 123.6,3.791 24.105
 163 ,Aldebaran,.87 20.43,4.598 16.509
 195 ,Capella,.08 13.12,5.278 45.997
 203 ,Alnath,1.65 41.05,5.438 28.607
 225 ,Betelgeuse,.45 152.67,5.919 7.407
 277 ,Castor,1.58 15.59,7.576 31.888
 280 ,Procyon,.4 3.51,7.655 5.224
 285 ,Pollux,1.16 10.35,7.755 28.026
 346 ,Regulus,1.36 24.31,10.139 11.967
 371 ,Dubhe,1.81 37.67,11.062 61.751
 421 ,Alioth,1.76 25.3,12.9 55.959
