 4319 , 13 , 0 , 0 
 237 ,Shedir,2.24 69.97,.675 56.537
 286 ,Van Maanen's Star,2.37 4.26,.819 5.388
 408 ,Mirach,2.07 60.53,1.162 35.62
 885 ,Polaris,1.97 132.62,2.529 89.264
 1181 ,Mirphak,1.79 155.27,3.405 49.861
 1331 ,Alcyone,2.85 123.6,3.791 24.105
 1661 ,Aldebaran,.87 20.43,4.598 16.509
 1903 ,Capella,.08 13.12,5.278 45.997
 1973 ,Alnath,1.65 41.05,5.438 28.607
 2203 ,Betelgeuse,.45 152.67,5.919 7.407
 2871 ,Castor,1.58 15.59,7.576 31.888
 2900 ,Procyon,.4 3.51,7.655 5.224
 2933 ,Pollux,1.16 10.35,7.755 28.026
