 555 , 17 , 0 , 64 
 23 ,Van Maanen's Star,2.37 4.26,.819 5.388
 41 ,Achernar,.45 42.75,1.628 -57.237
 64 ,Mira,6.47 91.65,2.322 -2.978
 116 ,Alcyone,2.85 123.6,3.791 24.105
 159 ,Aldebaran,.87 20.43,4.598 16.509
 194 ,Rigel,.18 264.55,5.242 -8.202
 206 ,Alnath,1.65 41.05,5.438 28.607
 248 ,Betelgeuse,.45 152.67,5.919 7.407
 275 ,Canopus,-.62 94.78,6.399 -52.696
 291 ,Sirius,1.44 2.63,6.752 -16.717
 313 ,Wezen,1.83 492.61,7.139 -26.394
 349 ,Procyon,.4 3.51,7.655 5.224
 358 ,Pollux,1.16 10.35,7.755 28.026
 393 ,Avior,1.86 185.52,8.375 -59.51
 448 ,Alphard,1.99 55.27,9.459 -8.659
 478 ,Alnair,1.73 30.96,22.137 -46.961
 513 ,Fomalhaut,1.17 7.7,22.96 -29.623
