 0 ,-19.499 , 9.27 , 45.662 ,""
 0 , 38.859 , 6.61 , 355.871 ,""
 0 ,-51.894 , 8.06 , 129.032 ,""
 0 ,-40.592 , 8.55 , 348.432 ,""
 .002 , 36.585 , 8.59 , 207.9 ,""
 .002 ,-50.868 , 8.59 , 92.936 ,""
 .002 , 46.94 , 7.34 , 233.1 ,""
 .002 ,-35.961 , 8.43 , 246.305 ,""
 .002 ,-22.595 , 8.8 , 286.532 ,""
 .003 ,-.361 , 7.25 , 195.694 ,""
 .003 , 50.791 , 8.6 , 408.163 ,""
 .003 ,-40.193 , 8.149 , 162.601 ,""
 .003 , 38.304 , 6.53 , 242.718 ,""
 .004 , 23.529 , 8.51 , 92.936 ,""
 .004 , 8.007 , 7.55 , 171.232 ,""
 .004 ,-49.353 , 8.69 , 223.713 ,""
 .004 , 13.312 , 7.57 , 81.9 ,""
 .005 ,-44.291 , 6.28 , 72.78 ,""
 .005 ,-43.362 , 8.83 , 177.304 ,""
 .006 , 42.141 , 8.26 , 263.852 ,""
 .006 , 2.675 , 7.63 , 543.478 ,""
 .006 ,-10.463 , 8.1 , 111.856 ,""
 .006 , 26.918 , 6.43 , 78.678 ,""
 .006 , 12.267 , 7.68 , 158.73 ,""
 .007 ,-79.062 , 8.65 , 41.946 ,""
 .007 ,-16.697 , 7.46 , 91.074 ,""
 .007 , 54.302 , 8.7 , 292.397 ,""
 .008 , 25.844 , 8.2 , 156.739 ,""
 .008 , 59.559 , 6.18 , 131.061 ,""
 .008 ,-3.307 , 7.91 , 414.937 ,""
 .008 ,-25.623 , 8.57 , 840.336 ,""
 .009 ,-56.836 , 10.78 , 40.899 ,""
 .009 ,-40.691 , 7.31 , 537.634 ,""
 .009 ,-53.098 , 6.49 , 59.206 ,""
 .009 , 1.066 , 8.94 , 2439.024 ,""
 .009 ,-77.021 , 8.56 , 253.164 ,""
 .01 , 17.968 , 10.57 , 47.687 ,""
 .01 ,-66.684 , 7.4 , 68.212 ,""
 .01 , .222 , 8.12 , 288.184 ,""
 .011 ,-69.676 , 8.27 , 29.507 ,""
 .011 , 62.176 , 7.05 , 38.372 ,""
 .011 ,-64.466 , 8.34 , 161.812 ,""
 .011 , 53.822 , 8.86 , 178.571 ,""
 .011 ,-45.423 , 8.27 , 189.393 ,""
 .012 , 45.253 , 6.36 , 207.9 ,""
 .012 ,-27.908 , 8.08 , 289.855 ,""
 .012 ,-72.319 , 8.55 , 122.249 ,""
 .013 , 23.538 , 7.83 , 133.689 ,""
 .013 , 16.988 , 8.79 , 31.446 ,""
 .013 , 30.395 , 8.33 , 157.48 ,""
 .013 , 36.78 , 8.26 , 109.529 ,""
 .014 ,-12.829 , 8.97 , 94.073 ,""
 .014 , 66.847 , 6.9 , 251.889 ,""
 .014 , 35.752 , 9.93 , 41.288 ,""
 .014 ,-50.447 , 7.42 , 625 ,""
 .015 ,-30.065 , 8.41 , 283.286 ,""
 .015 , 17.867 , 8.06 , 854.7 ,""
 .015 , 35.316 , 8.69 , 218.818 ,""
 .016 ,-11.824 , 8.4 , 64.143 ,""
 .016 ,-4.933 , 8.57 , 42.68 ,""
 .016 , 52.08 , 8.85 , 438.596 ,""
 .017 , 69.603 , 8.05 , 288.184 ,""
 .017 ,-5.835 , 7.8 , 221.238 ,""
 .017 ,-48.81 , 5.71 , 167.504 ,""
 .018 , 53.166 , 7.87 , 384.615 ,""
 .018 ,-41.888 , 7.64 , 106.951 ,""
 .018 ,-5.875 , 7.66 , 237.529 ,""
 .019 ,-20.706 , 8.68 , 209.643 ,""
 .019 ,-.076 , 8.12 , 59.737 ,""
 .02 ,-11.964 , 8.67 , 127.388 ,""
 .021 , 60.355 , 7.04 , 787.401 ,""
 .021 , 19.741 , 8.44 , 222.717 ,""
 .021 ,-41.488 , 7.05 , 333.333 ,""
 .021 ,-68.372 , 8.29 , 109.289 ,""
 .021 , 70.928 , 7.73 , 225.225 ,""
 .022 , 49.981 , 6.22 , 222.222 ,""
 .022 ,-50.338 , 5.53 , 171.232 ,""
 .022 ,-70.126 , 8.53 , 3333.333 ,""
 .023 , 6.791 , 7.23 , 187.617 ,""
 .023 , 39.61 , 8.61 , 48.971 ,""
 .023 , 34.281 , 11.28 , 36.886 ,""
 .023 ,-16.948 , 10.76 , 31.897 ,""
 .024 , 49.01 , 8.93 , 3703.703 ,""
 .024 , 30.735 , 7.95 , 100.704 ,""
 .024 ,-62.924 , 7.46 , 211.416 ,""
 .025 ,-33.793 , 8.6 , 120.627 ,""
 .025 ,-72.606 , 8.55 , 2777.777 ,""
 .026 , 44.675 , 6.82 , 133.511 ,""
 .026 ,-45.345 , 8.29 , 353.356 ,""
 .026 , 28.423 , 6.83 , 273.224 ,""
 .026 ,-77.066 , 4.78 , 67.704 ,""
 .026 , 72.236 , 7.21 , 197.238 ,""
 .026 , 61.222 , 5.58 , 1162.79 ,""
 .026 ,-39.337 , 8.7 , 196.85 ,""
 .027 , 14.632 , 8.06 , 340.136 ,""
 .027 , 73.611 , 6.5 , 65.789 ,""
 .027 , 62.018 , 8.13 , 123.304 ,""
 .028 ,-40.149 , 6.62 , 284.9 ,""
 .028 ,-.218 , 8.64 , 49.751 ,""
 .028 , 24.253 , 6.6 , 171.232 ,""
 .028 , 42.367 , 6.25 , 408.163 ,""
 .029 ,-16.532 , 7.83 , 157.728 ,""
 .03 , 36.35 , 8.47 , 178.253 ,""
 .03 , 66.306 , 7.33 , 62.344 ,""
 .03 , 76.175 , 8.66 , 280.112 ,""
 .03 , 21.462 , 10.35 , 49.875 ,""
 .03 ,-3.028 , 5.13 , 125.313 ,""
 .03 ,-25.798 , 8.96 , 227.79 ,""
 .031 , 21.026 , 8.49 , 1E+07 ,""
 .031 , 26.005 , 11.26 , 43.63 ,""
 .031 , 15.528 , 8.149 , 236.966 ,""
 .032 ,-37.23 , 7.04 , 133.333 ,""
 .032 , 12.654 , 8.9 , 180.505 ,""
 .032 ,-41.614 , 7.78 , 132.275 ,""
 .032 ,-6.014 , 4.37 , 127.226 ,""
 .033 , 63.357 , 8.6 , 323.624 ,""
 .033 ,-5.214 , 8.51 , 145.56 ,""
 .033 ,-37.902 , 7.09 , 142.247 ,""
 .034 ,-2.767 , 6.93 , 59.101 ,""
