15
'COCOVILLAGE'
STAGE ONE
00,05,00,299
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,21,20,20,20,20,20,20,20,20,20,20,20,11,20,20,20,20,20,20,20,20,20,20,20,12,00,00,00,00,00,00,00,21
00,19,04,00,04,00,04,00,04,00,04,00,04,19,04,00,04,00,04,00,04,00,04,00,04,19,00,00,00,00,00,00,00,19
00,19,00,21,20,12,00,21,20,20,20,12,00,19,00,21,20,20,20,12,00,21,20,12,00,19,00,00,00,56,57,00,00,19
00,19,03,13,20,14,04,13,20,20,20,14,04,15,04,13,20,20,20,14,04,13,20,14,03,19,00,00,00,58,59,00,00,19
00,19,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,19,00,00,00,00,00,00,00,19
00,19,04,16,20,17,04,21,12,00,16,20,20,11,20,20,17,00,21,12,04,16,20,17,04,19,00,00,00,00,00,00,00,19
00,19,00,04,00,04,00,19,19,04,00,04,00,19,00,04,00,04,19,19,00,04,00,04,00,19,00,00,00,00,00,00,00,19
00,13,20,20,20,12,04,19,22,20,20,17,04,15,04,16,20,20,23,19,04,21,20,20,20,14,00,21,20,20,20,12,00,13
00,00,00,00,00,19,00,19,19,04,00,04,00,04,00,04,00,04,19,19,00,19,00,00,00,00,00,19,00,00,00,19,00,00
20,20,20,20,20,14,04,13,14,00,21,20,60,10,61,20,12,00,13,14,04,13,20,20,20,20,20,14,00,25,00,13,20,20
00,00,00,00,00,00,00,04,00,04,19,01,01,02,01,01,19,04,00,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00
20,20,20,20,20,12,04,21,12,00,13,20,20,20,20,20,14,00,21,12,04,21,20,20,20,20,20,20,20,20,20,20,20,20
00,00,00,00,00,19,00,19,19,04,00,04,00,-4,00,04,00,04,19,19,00,19,00,00,00,00,00,00,00,00,00,00,00,00
00,21,20,20,20,14,04,13,14,00,16,20,20,11,20,20,17,00,13,14,04,13,20,20,20,12,00,00,00,00,00,00,00,21
00,19,00,04,00,04,00,04,00,04,00,04,00,19,00,04,00,04,00,04,00,04,00,04,00,19,00,00,00,00,00,00,00,19
00,19,03,16,20,12,04,16,20,20,20,17,04,15,04,16,20,20,20,17,04,21,20,17,04,19,00,00,00,00,00,00,00,19
00,19,00,04,00,19,00,04,00,04,00,04,00,04,00,04,00,04,00,04,00,19,00,04,03,19,00,00,00,00,00,00,00,19
00,22,20,17,04,15,04,21,12,00,16,20,20,11,20,20,17,00,21,12,04,15,04,16,20,23,00,00,00,00,00,00,00,22
00,19,00,04,00,04,00,19,19,04,00,04,00,19,00,04,00,04,19,19,00,04,00,04,00,19,00,00,00,56,57,00,00,19
