040,040,040,040,040,040,040,040,040,040,040,040,040,040,004,004,004,004,004,004
004,004,040,040,040,040,040,040,040,040,040,040,040,040,004,004,004,004,004,004
004,004,004,004,004,004,040,040,040,040,040,040,040,040,040,040,040,040,-04,-04
-04,-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04
-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04
-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04
-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,004,004,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40
-40,-40,004,004,004,004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,004,004,004,004,004,004,004,004,004,004,004,004,040,040,040,040,040
040,040,040,040,040,040,040,004,004,004,004,004,004,004,004,004,004,004,004,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,004,004,004,004,004,004,004,004,004,004,004,004,040
040,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,004,004,004,004
004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04
-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
004,004,004,004,004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,004,004,004,004,004
004,004,004,004,004,004,004,004,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,-04
-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,004,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,004,004,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,004,004,004,004,004,004,004,004,004,004,004,004,-40,-40,-40,-40,-40
-40,-40,-40,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,040,040,040
040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04
-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,004,004,004,004,004,004,004,004
004,004,004,004,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,-04
-04,-04,-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,004,004,004,004
004,004,004,004,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04
040,040,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04
-04,-04,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,004,004,004,004,004,004,004,004,004,004,004,004,004,004,040
040,040,040,040,040,040,040,040,040,040,040,040,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,004,040
040,040,040,040,040,040,040,040,040,040,040,004,004,004,004,004,004,004,004,004
004,004,004,004,004,004,004,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04,-04,-04
-04,-04,-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040
-40,-40,-40,004,004,004,004,004,004,004,040,040,040,040,040,040,040,040,-04,-04
-04,-04,-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,040,040,040,-04
-04,-04,-04,-04,-04,-04,-04,-40,-40,-40,-40,-04,-04,-04,-04,-04,-04,-04,-04,-40
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
-40,-40,-40,004,004,004,004,004,004,004,004,-40,-40,-40,-40,004,004,004,004,004
004,004,004,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,040,004
004,004,004,004,004,004,004,004,004,040,040,040,040,040,040,040,040,040,040,040
040,040,-04,-04,-04,-04,-04,040,040,040,040,040,040,004,004,004,004,004,004,004
004,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,040,040,040,040,040
040,040,-04,-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,-04,-04,-04
-04,-04,-04,-04,-04,040,040,040,040,040,040,040,040,040,040,040,004,004,004,004
004,004,004,004,004,-40,-40,-40,-40,-40,-40,004,004,004,004,004,004,040,040,040
040,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04,-04,-04,-04
-40,-40,-40,-40,-40,-40,-40,-40,-04,-04,-04,-04,-04,040,040,040,040,040,040,040
040,040,040,040,040,040,040,040,040,040,040,040,040,040,-04,-04,-04,-04,-04,-04
