 11053 , 15 , 0 , 0 
 1465 ,Polaris,1.97 132.275,2.529 89.264
 2325 ,Mirphak,1.79 181.488,3.405 49.861
 2711 ,Alcyone,2.85 112.739,3.791 24.105
 3532 ,Aldebaran,.87 19.964,4.598 16.509
 4198 ,Capella,.08 12.938,5.278 45.999
 4354 ,Bellatrix,1.64 74.515,5.418 6.349
 4366 ,Alnath,1.65 40.176,5.438 28.607
 4955 ,Betelgeuse,.45 131.061,5.919 7.407
 5841 ,Alhena,1.93 32.133,6.628 16.399
 6927 ,Castor,1.58 15.805,7.576 31.888
 7013 ,Procyon,.4 3.497,7.655 5.227
 7096 ,Pollux,1.16 10.336,7.755 28.026
 9109 ,Regulus,1.36 23.758,10.139 11.967
 9731 ,Dubhe,1.81 37.907,11.062 61.751
 10976 ,Alioth,1.76 24.813,12.9 55.959
