 8949 , 13 , 0 , 0 
 341 ,Mirphak,1.79 181.488,3.405 49.861
 684 ,Alcyone,2.85 112.739,3.791 24.105
 1410 ,Aldebaran,.87 19.964,4.598 16.509
 1980 ,Capella,.08 12.938,5.278 45.999
 2118 ,Alnath,1.65 40.176,5.438 28.607
 3323 ,Alhena,1.93 32.133,6.628 16.399
 4221 ,Castor,1.58 15.805,7.576 31.888
 4360 ,Pollux,1.16 10.336,7.755 28.026
 6070 ,Regulus,1.36 23.758,10.139 11.967
 6635 ,Dubhe,1.81 37.907,11.062 61.751
 7709 ,Alioth,1.76 24.813,12.9 55.959
 8179 ,Alkaid,1.85 30.873,13.792 49.313
 8468 ,Arcturus,-.05 11.254,14.261 19.187
