 10152 , 14 , 0 , 0 
 619 ,Aldebaran,.87 19.964,4.598 16.509
 1285 ,Capella,.08 12.938,5.278 45.999
 1441 ,Bellatrix,1.64 74.515,5.418 6.349
 1453 ,Alnath,1.65 40.176,5.438 28.607
 2042 ,Betelgeuse,.45 131.061,5.919 7.407
 2928 ,Alhena,1.93 32.133,6.628 16.399
 4014 ,Castor,1.58 15.805,7.576 31.888
 4100 ,Procyon,.4 3.497,7.655 5.227
 4183 ,Pollux,1.16 10.336,7.755 28.026
 6196 ,Regulus,1.36 23.758,10.139 11.967
 6818 ,Dubhe,1.81 37.907,11.062 61.751
 8063 ,Alioth,1.76 24.813,12.9 55.959
 8598 ,Alkaid,1.85 30.873,13.792 49.313
 8919 ,Arcturus,-.05 11.254,14.261 19.187
