 9966 , 13 , 0 , 0 
 282 ,Capella,.08 12.938,5.278 45.999
 438 ,Bellatrix,1.64 74.515,5.418 6.349
 450 ,Alnath,1.65 40.176,5.438 28.607
 1039 ,Betelgeuse,.45 131.061,5.919 7.407
 1925 ,Alhena,1.93 32.133,6.628 16.399
 3011 ,Castor,1.58 15.805,7.576 31.888
 3097 ,Procyon,.4 3.497,7.655 5.227
 3180 ,Pollux,1.16 10.336,7.755 28.026
 5193 ,Regulus,1.36 23.758,10.139 11.967
 5815 ,Dubhe,1.81 37.907,11.062 61.751
 7060 ,Alioth,1.76 24.813,12.9 55.959
 7595 ,Alkaid,1.85 30.873,13.792 49.313
 7916 ,Arcturus,-.05 11.254,14.261 19.187
