 10714 , 16 , 0 , 0 
 494 ,Polaris,1.97 132.275,2.529 89.264
 1354 ,Mirphak,1.79 181.488,3.405 49.861
 1740 ,Alcyone,2.85 112.739,3.791 24.105
 2561 ,Aldebaran,.87 19.964,4.598 16.509
 3227 ,Capella,.08 12.938,5.278 45.999
 3383 ,Bellatrix,1.64 74.515,5.418 6.349
 3395 ,Alnath,1.65 40.176,5.438 28.607
 3984 ,Betelgeuse,.45 131.061,5.919 7.407
 4870 ,Alhena,1.93 32.133,6.628 16.399
 5956 ,Castor,1.58 15.805,7.576 31.888
 6042 ,Procyon,.4 3.497,7.655 5.227
 6125 ,Pollux,1.16 10.336,7.755 28.026
 8138 ,Regulus,1.36 23.758,10.139 11.967
 8760 ,Dubhe,1.81 37.907,11.062 61.751
 10005 ,Alioth,1.76 24.813,12.9 55.959
 10540 ,Alkaid,1.85 30.873,13.792 49.313
